Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1970,NBA,8,133,Herb White,Georgia,38,315,90,48,47,.405,,.564,8.3,2.4,1.3,1.2,0.1,.013,,
1970,NBA,9,150,Larry Jackson,Sul Ross State University,,,,,,,,,,,,,,,,
1970,NBA,10,167,Manuel Raga,,,,,,,,,,,,,,,,,
1970,NBA,11,182,Dino Meneghin,,,,,,,,,,,,,,,,,
1969,NBA,1,10,Butch Beard,Louisville,605,14283,5622,2042,2189,.487,,.771,23.6,9.3,3.4,3.6,32.8,.110,0.6,6.2
1969,NBA,2,25,Wally Anderzunas (↳CIN),Creighton,44,370,159,82,9,.392,,.630,8.4,3.6,1.9,0.2,-0.2,-0.023,,
1969,NBA,4,53,Billy Hann,Tennessee,,,,,,,,,,,,,,,,
1969,NBA,4,55,Don Griffin,Stanford,,,,,,,,,,,,,,,,
1969,NBA,5,67,Mike Mitchell,West Texas A&M University,,,,,,,,,,,,,,,,
1969,NBA,6,81,Guy Mackner,South Dakota State,,,,,,,,,,,,,,,,
1969,NBA,7,95,Bob Bundy,Vanderbilt,,,,,,,,,,,,,,,,
1969,NBA,8,109,Bob Christian,Grambling State University,246,3012,942,1002,203,.486,,.704,12.2,3.8,4.1,0.8,5.7,.091,-1.9,0.0
1969,NBA,9,123,Pete Gayeska,UMass,,,,,,,,,,,,,,,,
1969,NBA,10,137,Dick Stewart,Rutgers University,,,,,,,,,,,,,,,,
1969,NBA,11,151,Loran Bracci,Cal State Northridge,,,,,,,,,,,,,,,,
1969,NBA,12,164,Dave Jones,University of La Verne,,,,,,,,,,,,,,,,
1969,NBA,13,176,Dick Barton,University of California Riverside,,,,,,,,,,,,,,,,
1969,NBA,14,185,Mike Dahl,Oglethorpe University,,,,,,,,,,,,,,,,
1969,NBA,15,193,Norm Carmichael,Virginia,,,,,,,,,,,,,,,,
1969,NBA,16,199,Buddy Cornelius,Jacksonville State University,,,,,,,,,,,,,,,,
1969,NBA,17,205,John Tolmie,United States Naval Academy,,,,,,,,,,,,,,,,
1969,NBA,18,210,Cliff Parsons,Air Force,,,,,,,,,,,,,,,,
1969,NBA,19,214,Grady O'Malley,Manhattan College,24,113,50,26,10,.350,,.421,4.7,2.1,1.1,0.4,-0.3,-0.136,,
1969,NBA,20,217,Carl Rodwell,University of California Riverside,,,,,,,,,,,,,,,,
1968,NBA,1,13,Skip Harlicka,South Carolina,26,218,106,16,37,.456,,.774,8.4,4.1,0.6,1.4,0.5,.119,,
1968,NBA,4,47,Bob Warren,Vanderbilt,,,,,,,,,,,,,,,,
1968,NBA,5,61,Rusty Parker,Miami (FL),,,,,,,,,,,,,,,,
1968,NBA,6,75,Phil Wagner,Georgia Tech,,,,,,,,,,,,,,,,
1968,NBA,7,89,Oscar Smith,Elizabeth City State University,,,,,,,,,,,,,,,,
1968,NBA,8,103,Marty Baietti,Manhattan College,,,,,,,,,,,,,,,,
1968,NBA,9,117,Mack Daughtry,Albany State University,,,,,,,,,,,,,,,,
1968,NBA,10,131,Dwight Waller,Tennessee State,11,29,7,10,1,.222,,.429,2.6,0.6,0.9,0.1,-0.1,-0.134,,
1968,NBA,11,144,Henry Watkins,Tennessee State,,,,,,,,,,,,,,,,
1968,NBA,12,157,Phil Harris,Texas-El Paso,,,,,,,,,,,,,,,,
1968,NBA,13,169,Frank Standard,South Carolina,,,,,,,,,,,,,,,,
1968,NBA,14,180,George Hicker,Syracuse,,,,,,,,,,,,,,,,
1968,NBA,15,188,Bennie Foster,Point Loma Nazarene,,,,,,,,,,,,,,,,
1968,NBA,16,196,Terry Allerton,Baldwin-Wallace College,,,,,,,,,,,,,,,,
1967,NBA,1,8,Tom Workman,Seattle University,43,187,109,52,5,.432,,.711,4.3,2.5,1.2,0.1,0.4,.107,,
1967,NBA,3,25,Bob Verga (↳DLC),Duke,21,216,104,18,17,.452,,.625,10.3,5.0,0.9,0.8,0.1,.032,-2.9,0.0
1967,NBA,4,37,Wesley Bialosuknia,UConn,,,,,,,,,,,,,,,,
1967,NBA,5,49,Mike Wittman,Miami (FL),,,,,,,,,,,,,,,,
1967,NBA,6,61,John Morrison,Canisius,,,,,,,,,,,,,,,,
1967,NBA,7,73,Carl Fuller,Bethune-Cookman College,,,,,,,,,,,,,,,,
1967,NBA,8,85,Arvesta Kelly,Lincoln University of Missouri,,,,,,,,,,,,,,,,
1967,NBA,9,96,Ed Biedenbach,NC State,7,18,4,2,3,.000,,.667,2.6,0.6,0.3,0.4,-0.1,-0.248,,
1967,NBA,10,107,Dick Falkenbush,Saint Michael's College,,,,,,,,,,,,,,,,
1966,NBA,1,4,Lou Hudson,Minnesota,890,29794,17940,3926,2432,.489,,.797,33.5,20.2,4.4,2.7,81.0,.131,0.4,6.8
1966,NBA,2,14,Dick Snyder,Davidson,964,25676,11755,2732,2767,.488,,.824,26.6,12.2,2.8,2.9,58.3,.109,0.1,5.4
1966,NBA,3,24,Tommy Kron,Kentucky,184,3139,1193,603,518,.389,,.753,17.1,6.5,3.3,2.8,1.8,.028,,
1966,NBA,4,34,Bob McIntyre,St. John's,,,,,,,,,,,,,,,,
1966,NBA,5,44,Dick Nemelka,BYU,,,,,,,,,,,,,,,,
1966,NBA,6,54,Lonnie Wright,Colorado State,,,,,,,,,,,,,,,,
1966,NBA,7,63,Jay Neary,UNC Wilmington,,,,,,,,,,,,,,,,
1966,NBA,8,72,Bryan Williams,Xavier,,,,,,,,,,,,,,,,
1966,NBA,9,79,Al Grant,Long Island University,,,,,,,,,,,,,,,,
1966,NBA,10,86,Don Yates,Minnesota,,,,,,,,,,,,,,,,
1966,NBA,11,93,Curt Gammell,Pacific Lutheran University,,,,,,,,,,,,,,,,
1966,NBA,12,99,Lonnie Lynn,Wilberforce University,,,,,,,,,,,,,,,,
1966,NBA,13,102,Nick Aloi,Bowling Green,,,,,,,,,,,,,,,,
1966,NBA,14,104,Ollie Carter,San Francisco,,,,,,,,,,,,,,,,
1966,NBA,15,106,Paul Long,Wake Forest,71,436,274,57,54,.464,,.753,6.1,3.9,0.8,0.8,1.0,.111,,
1966,NBA,16,108,Eddie Jackson,Bradley,,,,,,,,,,,,,,,,
1965,NBA,1,8,Jim Washington,Villanova,774,22668,8168,6637,1105,.449,,.705,29.3,10.6,8.6,1.4,39.3,.083,-0.8,1.3
1965,NBA,3,26,Ken McIntyre,St. John's,,,,,,,,,,,,,,,,
1965,NBA,4,35,Lynn Nance,Washington,,,,,,,,,,,,,,,,
1965,NBA,5,44,Theodore Werner,Washington State,,,,,,,,,,,,,,,,
1965,NBA,6,53,John Rambo,Cal State Long Beach,,,,,,,,,,,,,,,,
1965,NBA,7,61,Terry Kunze,Minnesota,,,,,,,,,,,,,,,,
1965,NBA,8,69,Cincinnatus Powell,University of Portland,,,,,,,,,,,,,,,,
1965,NBA,9,75,Leroy Walker,Utah State University,,,,,,,,,,,,,,,,
1965,NBA,10,81,Spencer Carlson,Baylor,,,,,,,,,,,,,,,,
1965,NBA,11,87,Weldon Kytle,Cleveland State University,,,,,,,,,,,,,,,,
1965,NBA,12,93,Elton McGriff,Creighton,,,,,,,,,,,,,,,,
1965,NBA,13,98,Mel Northway,Minnesota,,,,,,,,,,,,,,,,
1965,NBA,14,102,Terry Page,Detroit Mercy,,,,,,,,,,,,,,,,
1965,NBA,15,106,George Pomey,Michigan,,,,,,,,,,,,,,,,
1965,NBA,16,110,Bob Tolan,Eastern Kentucky University,,,,,,,,,,,,,,,,
1964,NBA,1,6,Jeff Mullins,Duke,804,24574,13017,3427,3023,.463,,.814,30.6,16.2,4.3,3.8,62.8,.123,-0.4,1.6
1964,NBA,2,12,Paul Silas,Creighton,1254,34989,11782,12357,2572,.432,,.673,27.9,9.4,9.9,2.1,79.9,.110,-0.6,5.6
1964,NBA,3,24,Arthur Becker,Arizona State,,,,,,,,,,,,,,,,
1964,NBA,4,33,Willie Murrell,Kansas State,,,,,,,,,,,,,,,,
1964,NBA,5,42,John Tresvant,Seattle University,559,12296,5118,3546,806,.451,,.693,22.0,9.2,6.3,1.4,24.4,.095,,
1964,NBA,6,51,Ernest Brock,Virginia State University,,,,,,,,,,,,,,,,
1964,NBA,7,60,Maurice McHartley,North Carolina A&T,,,,,,,,,,,,,,,,
1964,NBA,8,69,Kendall Rhine,Rice University,,,,,,,,,,,,,,,,
1964,NBA,9,76,Darel Carrier,Western Kentucky,,,,,,,,,,,,,,,,
1964,NBA,10,83,Frank Stephens,Virginia State University,,,,,,,,,,,,,,,,
1964,NBA,11,90,Gerald Govan,Saint Mary of the Plains College,,,,,,,,,,,,,,,,
1964,NBA,12,94,Warren Sutton,Sir George Williams University,,,,,,,,,,,,,,,,
1964,NBA,13,97,Cecil Tuttle,Georgetown College,,,,,,,,,,,,,,,,
1964,NBA,14,99,Bill Blair,Virginia Military Institute,,,,,,,,,,,,,,,,
1964,NBA,15,101,Al Cech,Detroit Mercy,,,,,,,,,,,,,,,,
1963,NBA,1,6,Gerry Ward,Boston College,169,2049,542,294,237,.356,,.639,12.1,3.2,1.7,1.4,1.0,.023,,
1963,NBA,2,15,Leland Mitchell,Mississippi State,,,,,,,,,,,,,,,,
1963,NBA,2,18,Ken Saylors,Arkansas Tech University,,,,,,,,,,,,,,,,
1963,NBA,3,24,Bill Burwell,Illinois,,,,,,,,,,,,,,,,
1963,NBA,4,33,Waite Bellamy,Florida A&M,,,,,,,,,,,,,,,,
1963,NBA,5,42,Tony Yates,Cincinnati,,,,,,,,,,,,,,,,
1963,NBA,6,51,Al Santio,Maryland,,,,,,,,,,,,,,,,
1963,NBA,7,60,Ken Rohloff,NC State,2,7,0,0,1,.000,,,3.5,0.0,0.0,0.5,0.0,-0.131,,
1963,NBA,8,68,Harold Strother,Texas A&M,,,,,,,,,,,,,,,,
1963,NBA,9,73,Frank Davis,Oklahoma Christian University,,,,,,,,,,,,,,,,
1963,NBA,10,76,Carl Ritter,SE Missouri State,,,,,,,,,,,,,,,,
1963,NBA,11,78,Marv Straw,Iowa State,,,,,,,,,,,,,,,,
1963,NBA,12,80,Hugh Evans,North Carolina A&T,,,,,,,,,,,,,,,,
1963,NBA,13,82,Gordon McFarland,Central Missouri State University,,,,,,,,,,,,,,,,
