Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1986,NBA,1,17,Harold Pressley,Villanova,299,6802,2702,1339,628,.437,.358,.778,22.7,9.0,4.5,2.1,10.0,.070,0.3,4.0
1986,NBA,2,34,Johnny Rogers,University of California Irvine,69,636,251,104,29,.472,.000,.679,9.2,3.6,1.5,0.4,0.4,.032,-4.8,-0.4
1986,NBA,3,57,Bruce Douglas,Illinois,8,98,14,14,17,.292,.000,.000,12.3,1.8,1.8,2.1,-0.2,-0.082,-3.0,0.0
1986,NBA,4,80,Alvin Franklin,Houston,,,,,,,,,,,,,,,,
1986,NBA,4,91,Bob Beecher,Virginia Tech,,,,,,,,,,,,,,,,
1986,NBA,5,103,Keith Morrison,Washington State,,,,,,,,,,,,,,,,
1986,NBA,6,126,John Flowers,UNLV,,,,,,,,,,,,,,,,
1986,NBA,7,149,Ron Rankin,SE Missouri State,,,,,,,,,,,,,,,,
1985,NBA,1,6,Joe Kleine,Arkansas,965,14712,4666,3991,622,.453,.271,.794,15.2,4.8,4.1,0.6,19.1,.062,-3.9,-7.0
1985,NBA,3,51,Charles Bradley,South Florida,,,,,,,,,,,,,,,,
1985,NBA,3,66,Michael Adams,Boston College,653,20446,9621,1900,4209,.415,.332,.849,31.3,14.7,2.9,6.4,46.9,.110,1.9,19.9
1985,NBA,4,76,Willie Simmons,Louisiana Tech,,,,,,,,,,,,,,,,
1985,NBA,5,98,Bob Lojewski,Saint Joseph's,,,,,,,,,,,,,,,,
1985,NBA,6,120,Charles Balentine,Arkansas,,,,,,,,,,,,,,,,
1985,NBA,7,145,Alton Lee Gipson,Florida State,,,,,,,,,,,,,,,,
1984,NBA,1,9,Otis Thorpe,Providence,1257,39822,17600,10370,2730,.546,.047,.687,31.7,14.0,8.2,2.2,106.4,.128,-0.1,19.1
1984,NBA,3,54,Roosevelt Chapman,Dayton,,,,,,,,,,,,,,,,
1984,NBA,3,56,Jeff Allen,St. John's,,,,,,,,,,,,,,,,
1984,NBA,4,80,Carl Henry,Kansas,28,149,78,19,4,.463,.400,.706,5.3,2.8,0.7,0.1,0.2,.049,-2.5,0.0
1984,NBA,5,102,Jim Foster,South Carolina,,,,,,,,,,,,,,,,
1984,NBA,6,126,Bruce Vanley,Tulsa,,,,,,,,,,,,,,,,
1984,NBA,7,148,Chipper Harris,Robert Morris University (PA),,,,,,,,,,,,,,,,
1984,NBA,8,172,Nate Rollins,Fort Hays State University,,,,,,,,,,,,,,,,
1984,NBA,9,193,Greg Turner,Auburn,,,,,,,,,,,,,,,,
1984,NBA,10,216,Victor Coleman,Northwest Missouri State University,,,,,,,,,,,,,,,,
1983,NBA,1,13,Ennis Whatley (↳CHI),Alabama,385,7108,2150,679,1754,.468,.097,.755,18.5,5.6,1.8,4.6,9.6,.065,-0.9,2.0
1983,NBA,2,38,Chris McNealy (↳CHI),San Jose State,108,1864,466,494,110,.456,,.658,17.3,4.3,4.6,1.0,2.6,.066,-1.9,0.0
1983,NBA,3,60,Steve Harriel,Washington State,,,,,,,,,,,,,,,,
1983,NBA,4,84,Mike Jackson,Wyoming,,,,,,,,,,,,,,,,
1983,NBA,5,106,Lorenza Andrews,Oklahoma State,,,,,,,,,,,,,,,,
1983,NBA,6,130,Alvis Rogers,Wake Forest,,,,,,,,,,,,,,,,
1983,NBA,7,152,Dane Suttle,Pepperdine,46,493,272,49,48,.507,.000,.857,10.7,5.9,1.1,1.0,1.0,.093,-0.5,0.2
1983,NBA,8,176,Preston Neumayr,UC-Davis,,,,,,,,,,,,,,,,
